"ID","date_start","date_stop","tr_type","number_inspections","total_rides","fraction","empirical_b"
1,2019-03-01,2019-03-30,1,16,17,0.941176470588235,0.911764705882353
2,2019-03-01,2019-03-09,2,14,19,0.736842105263158,0.709677419354839
3,2019-03-10,2019-03-16,2,23,26,0.884615384615385,0.815789473684211
4,2019-03-17,2019-03-23,2,20,24,0.833333333333333,0.777777777777778
5,2019-03-24,2019-03-30,2,24,27,0.888888888888889,0.82051282051282
6,2019-03-01,2019-03-09,3,5,14,0.357142857142857,0.409090909090909
7,2019-03-10,2019-03-16,3,10,16,0.625,0.583333333333333
8,2019-03-17,2019-03-23,3,5,12,0.416666666666667,0.45
9,2019-03-24,2019-03-31,3,19,29,0.655172413793103,0.621621621621622
10,2019-03-01,2019-03-09,3,7,9,0.777777777777778,0.647058823529412
11,2019-04-01,2019-04-06,2,23,26,0.884615384615385,0.815789473684211
